country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","08-02-2026 09:00:00",23.002657,72.591912,PM10,90,134,111
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","08-02-2026 09:00:00",23.002657,72.591912,OZONE,34,93,39
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","08-02-2026 09:00:00",23.020509,72.579261,NH3,11,33,17
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","08-02-2026 09:00:00",28.542460,77.191651,CO,24,84,36
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","08-02-2026 09:00:00",28.732820,77.170633,CO,31,82,40
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-02-2026 09:00:00",28.580280,77.233829,PM2.5,120,328,195
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","08-02-2026 09:00:00",28.593883,76.270653,NO2,9,23,15
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","08-02-2026 09:00:00",28.593883,76.270653,SO2,10,11,10
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","08-02-2026 09:00:00",28.593883,76.270653,CO,10,25,16
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","08-02-2026 09:00:00",28.593883,76.270653,OZONE,14,17,16
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","08-02-2026 09:00:00",28.39072,77.30059,PM2.5,184,200,192
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","08-02-2026 09:00:00",28.39072,77.30059,NO2,24,26,25
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","08-02-2026 09:00:00",28.39072,77.30059,SO2,8,8,8
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","08-02-2026 09:00:00",28.376058,77.315741,PM10,87,148,118
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","08-02-2026 09:00:00",28.376058,77.315741,NH3,10,10,10
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","08-02-2026 09:00:00",28.376058,77.315741,SO2,3,107,8
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","08-02-2026 09:00:00",28.4417,77.3217,NH3,10,12,11
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","08-02-2026 09:00:00",29.503664,75.467934,NO2,18,20,19
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","08-02-2026 09:00:00",29.503664,75.467934,NH3,13,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","08-02-2026 09:00:00",29.503664,75.467934,SO2,10,11,10
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","08-02-2026 09:00:00",29.503664,75.467934,CO,25,36,29
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","08-02-2026 09:00:00",28.422681,77.148944,PM2.5,66,308,170
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","08-02-2026 09:00:00",28.422681,77.148944,PM10,123,193,156
